group_id,id,size
146,1887360,2
147,346005,1
148,382668,1
149,1517885,5
150,126739,2
151,245129,3
152,177323,4
153,1412224,1
154,1544708,2
155,67063,1
156,1701594,2
157,1577179,5
158,160436,1
159,1696675,3
160,752768,4
161,1456293,1
162,323425,4
163,1501168,4
164,2010544,1
165,701314,2
166,2025152,2
167,1618639,1
168,1714626,2
169,2019254,1
170,1571710,4
171,640518,1
172,757916,1
173,338161,5
174,1257219,1
175,1431907,2
176,565854,2
177,1663312,2
178,1315762,3
179,1306211,1
180,688993,5
181,1856735,4
182,1456249,5
183,885725,3
184,1356646,3
185,1447202,1
186,707404,3
187,684101,4
188,1089957,1
189,969451,3
190,1241012,2
191,1361307,2
192,777486,1
193,2091593,3
194,50181,5
195,1532681,3
196,617956,1
197,1736714,2
198,1192940,4
199,461226,3
200,531900,5
201,1167284,1
202,990811,1
203,1188959,1
204,1523762,2
205,1450164,3
206,1447229,4
207,388680,1
208,106322,5
209,1700399,2
210,369571,1
211,1605651,3
212,132087,1
213,66208,6
214,1965255,1
215,1131984,1
216,1318220,1
217,841552,1
218,984430,3
219,1983777,1
220,2035400,1
221,873560,1
222,998537,3
223,97613,5
224,1897723,1
225,1143027,2
226,1038396,2
227,1916216,1
228,146240,7
229,1178625,1
230,376187,7
231,327024,1
232,411180,1
233,682679,1
234,968967,1
235,1595318,1
236,233486,3
237,683188,5
238,1634680,4
239,1844006,1
240,403407,4
241,2019730,3
242,1156573,2
243,708024,4
244,1419353,3
245,1198429,5
246,1132076,2
247,1807119,1
248,2065046,1
249,299151,3
250,1608156,3
251,1642096,1
252,1658699,1
253,849388,3
254,478052,1
255,57612,1
256,1584543,5
257,1452666,2
258,316759,2
259,991847,3
260,1729147,2
261,1700924,1
262,1892771,5
263,290906,5
264,1693514,1
265,1536714,1
266,203184,2
267,954790,4
268,1288670,1
269,777421,1
270,1330222,5
271,1566163,2
272,1743490,2
273,1151635,4
274,1728854,2
275,1112410,1
276,398396,2
277,1779722,1
278,737536,4
279,688770,4
280,1425069,3
281,320089,3
282,837989,1
283,1089132,1
284,539017,1
285,570066,5
286,1247014,1
287,359236,3
288,1346077,2
289,862889,1
290,1496312,1
291,1918785,2
292,1980990,1
293,2037056,3
294,1570579,1
295,356121,1
296,118688,1
297,302440,2
298,1552550,3
299,1838599,2
300,1964353,2
301,461584,3
302,639721,3
303,328117,4
304,848800,1
305,877935,4
306,249267,1
307,288988,1
308,1221593,2
309,1034332,2
310,242395,4
311,1191631,4
312,1657677,2
313,535703,1
314,775457,4
315,528530,1
316,1005862,1
317,1010817,1
318,983590,1
319,1567725,1
320,1639148,2
321,665529,1
322,1158599,3
323,45840,4
324,1028235,2
325,512191,3
326,2037467,4
327,288226,1
328,375297,2
329,1058673,1
330,1068896,2
331,1426390,2
332,124052,3
333,345363,2
334,507257,4
335,459928,3
336,1147181,4
337,1482124,3
338,93776,3
339,527693,1
340,736972,1
341,1612121,4
342,1646130,2
343,57806,2
344,1950381,4
345,186726,3
346,1487615,1
347,1806891,2
348,350170,3
349,284296,1
350,167470,5
351,1180447,5
352,1562101,5
353,237746,1
354,1078759,3
355,1861415,3
356,509717,1
357,1508367,3
358,98842,3
359,72202,1
360,1381070,2
361,1450473,2
362,711301,1
363,1050693,2
364,1709971,2
365,939927,5
366,1022480,5
367,1133806,4
368,1323853,1
369,73231,1
370,1217871,4
371,532358,3
372,1903806,1
373,1666359,4
374,1749728,4
375,1060589,4
376,2013098,5
377,264353,1
378,1621849,1
379,606180,4
380,7639,4
381,1664740,2
382,224538,3
383,637270,3
384,941235,1
385,1109827,1
386,141708,2
387,1680704,2
388,1880304,1
389,696925,4
390,590658,3
391,666974,2
392,1567838,2
393,365191,1
394,2095284,5
395,1647214,2
396,345382,3
397,1091602,2
398,2015695,3
399,2007242,2
400,133836,4
401,1760129,1
402,1690345,1
403,672552,1
404,1027860,2
405,1666800,4
406,2055243,3
407,272539,3
408,1510351,2
409,441038,4
410,1380475,3
411,937230,1
412,18521,3
413,764045,4
414,1481697,4
415,1278084,3
416,510196,3
417,389537,1
418,398504,2
419,1439610,2
420,1345480,1
421,563791,3
422,952202,3
423,1801196,3
424,1700188,2
425,1889675,2
426,1831051,1
427,1352988,2
428,185956,10
429,874520,10
430,1201132,8
431,1409556,8
432,1160780,8
433,332032,4
434,1900699,8
435,1937540,10
436,1809420,1
437,341110,3
438,1485035,5
439,55678,6
440,1227542,3
441,1611141,5
442,1924147,3
443,1636112,2
444,2074098,1
445,1614351,2
446,1132385,3
447,1728252,5
448,754688,4
449,1751308,4
450,1008801,1
451,801502,4
452,1024520,2
453,1936551,4
454,1629621,1
455,1914254,1
456,1208962,4
457,214139,1
458,1716862,5
459,1803146,2
460,2095583,1
461,247384,4
462,1434808,3
463,1487166,1
464,1606831,3
465,758460,4
466,1803705,1
467,391338,2
468,2033656,2
469,1105427,4
470,1112414,1
471,1360921,3
472,178111,5
473,858748,7
474,1179385,7
475,944383,6
476,1307549,7
477,1588308,8
478,828737,6
479,982692,7
480,2017255,7
481,464904,7
482,1096420,1
483,284710,2
484,2039599,3
485,550075,4
486,1890620,2
487,1675069,3
488,1751670,5
489,1758901,2
490,562597,1
491,664389,1
492,194806,2
493,1520148,5
494,1210755,2
495,697057,1
496,353418,1
497,1214078,2
498,1190780,10
499,449362,8
500,266303,8
501,2068254,7
502,1664230,11
503,1844535,8
504,1208888,10
505,460630,1
506,141597,1
507,148588,2
508,166095,4
509,365617,1
510,1155253,1
511,1582969,3
512,1581335,4
513,957836,4
514,1197255,4
515,1789672,2
516,967732,1
517,1792157,4
518,1675439,2
519,1924339,1
520,1586218,4
521,1513120,2
522,1760383,1
523,686158,1
524,921389,3
525,168485,1
526,1315730,2
527,272673,5
528,1271634,2
529,930115,4
530,1012604,2
531,596000,2
532,727632,2
533,162328,2
534,1145508,3
535,1471218,1
536,1945140,1
537,196239,4
538,1951444,1
539,1134897,2
540,1381084,1
541,1524051,5
542,443711,4
543,660551,3
544,239172,3
545,538711,1
546,969256,1
547,1152153,5
548,715722,1
549,1624317,3
550,331659,5
551,1743755,2
552,390019,4
553,911069,3
554,2014398,1
555,2018504,2
556,1649682,3
557,1385557,3
558,1509635,1
559,1021800,1
560,998192,1
561,914933,3
562,755670,4
563,859841,3
564,344558,2
565,1171139,1
566,770252,5
567,840358,1
568,1574554,4
569,371935,3
570,850606,2
571,155891,5
572,1347358,2
573,1136938,4
574,1144531,4
575,2015715,4
576,1758663,2
577,1279087,1
578,367517,4
579,1719235,4
580,868390,1
581,1594224,3
582,614566,1
583,1046909,2
584,1394108,1
585,1445696,4
586,1860323,4
587,23379,3
588,987495,1
589,1462794,4
590,1503440,3
591,158293,1
592,1936075,3
593,1759237,3
594,465043,3
595,1862216,4
596,619341,3
597,197786,1
598,1200605,2
599,1217381,1
600,1647955,2
601,119370,3
602,1103314,2
603,1505958,4
604,995292,1
605,259174,3
606,1995311,2
607,133312,1
608,1468284,3
609,219567,2
610,1793044,4
611,705064,1
612,1199497,2
613,1678825,1
614,1696430,1
615,1342183,2
616,1699262,1
617,439328,1
618,327204,3
619,859038,1
620,1154245,2
621,1648195,2
622,1376303,4
623,905327,3
624,1476708,3
625,1530719,1
626,40624,1
627,1860348,3
628,22405,3
629,1394394,1
630,1522107,4
631,167417,1
632,1156879,3
633,1953871,1
634,1946929,3
635,1617284,1
636,1794634,1
637,1086053,1
638,232274,1
639,1350934,3
640,1773684,1
641,440769,4
642,1562922,2
643,1031660,1
644,1243677,3
645,1368712,2
646,931560,3
647,1200408,3
648,1983765,1
649,1965716,1
650,968110,1
651,1730554,1
652,2050707,1
653,35076,1
654,896394,1
655,1019429,3
656,1351151,4
657,1421418,4
658,895448,3
659,1136963,3
660,1583686,6
661,33888,2
662,708696,1
663,1714217,3
664,2085568,3
665,1379586,2
666,1750125,4
667,150070,2
668,1848525,1
669,439435,1
670,798967,1
671,1063052,2
672,549068,1
673,504575,6
674,822775,1
675,1725950,3
676,43800,1
677,1461817,3
678,1237523,2
679,1232039,4
680,724350,3
681,108103,5
682,1102428,7
683,1104900,6
684,765962,6
685,2065050,7
686,1959018,1
687,706796,1
688,2045865,3
689,2048511,4
690,1243456,3
691,1318453,2
692,1435666,1
693,611409,1
694,1109234,4
695,1550620,1
696,1594973,2
697,1916015,1
698,1406469,3
699,1221844,3
700,1475524,2
701,352434,1
702,1508277,3
703,848722,7
704,909448,11
705,1415184,9
706,1588833,9
707,236342,9
708,964113,7
709,467272,7
710,285718,1
711,978753,1
712,1669471,4
713,1350922,4
714,297504,1
715,240895,2
716,938574,1
717,1989874,3
718,126216,3
719,886431,4
720,989438,1
721,471766,5
722,953272,1
723,1287441,1
724,481495,4
725,1115098,4
726,164531,1
727,1908834,4
728,2047772,5
729,111510,5
730,330141,1
731,69324,1
732,69845,3
733,1806328,3
734,1942911,3
735,1346459,1
736,971802,3
737,1868780,4
738,808070,5
739,499275,3
740,2027256,1
741,45157,1
742,1229505,2
743,1887849,1
744,1565051,4
745,1860467,1
746,246969,3
747,898576,1
748,2049023,6
749,575073,1
750,110626,2
751,444008,4
752,851838,3
753,1733831,4
754,1010543,1
755,629930,3
756,1011112,1
757,1668783,1
758,587055,1
759,2050303,1
760,741636,1
761,1346096,1
762,231643,2
763,1461139,1
764,533215,4
765,1199300,2
766,252403,2
767,1217112,6
768,1593503,4
769,1939208,1
770,2064706,2
771,788910,1
772,1173853,5
773,2018366,2
774,30878,4
775,2048594,3
776,1058549,1
777,211622,4
778,434962,1
779,745640,1
780,1111309,3
781,938700,4
782,1984818,1
783,458247,2
784,711106,2
785,1981451,5
786,248178,4
787,1649471,2
788,1489657,2
789,1470507,1
790,760351,5
791,479734,1
792,398618,1
793,916734,1
794,1118070,4
795,199078,3
796,539617,1
797,698208,1
798,1339043,4
799,1737013,4
800,1776210,1
801,1356855,3
802,1480300,3
803,2055540,2
804,1316272,4
805,460384,5
806,798323,3
807,1279908,2
808,1181497,3
809,1163644,1
810,240423,4
811,1585470,5
812,1784999,2
813,462283,3
814,1772261,1
815,2052720,2
816,2006664,5
817,1903939,4
818,918008,5
819,1846307,2
820,86940,9
821,1685710,10
822,1626029,9
823,1964024,8
824,1086745,2
825,1436500,11
826,1212050,1
827,1174028,2
828,1979568,4
829,368255,1
830,596466,3
831,1931070,1
832,662174,1
833,1014226,3
834,1143818,3
835,1101852,2
836,1946214,5
837,573715,3
838,1356147,4
839,1615253,2
840,1656654,3
841,1493773,3
842,1025781,1
843,437077,1
844,949503,1
845,1115391,2
846,1897254,4
847,403947,2
848,1727226,5
849,1196426,2
850,444898,4
851,1009817,2
852,1632922,1
853,1276675,1
854,1477221,1
855,366288,1
856,520109,1
857,1994529,1
858,2083613,1
859,908157,5
860,1162449,2
861,1226361,3
862,105229,4
863,1281941,1
864,1831687,1
865,732739,1
866,2060350,4
867,1703550,3
868,1108973,2
869,1622630,4
870,1702523,5
871,1338988,3
872,1145018,1
873,1345148,2
874,73245,5
875,1437652,4
876,859113,3
877,1863869,1
878,525828,2
879,1033530,4
880,1349406,5
881,833413,3
882,923070,4
883,576974,6
884,811616,1
885,771829,4
886,675710,1
887,2008818,3
888,82626,3
889,1623204,2
890,637839,1
891,151768,3
892,1126403,3
893,1079812,2
894,1164505,1
895,1910253,2
896,1308960,5
897,317768,3
898,987300,1
899,1180438,2
900,430595,1
901,510394,2
902,1143242,1
903,1711010,3
904,1483661,5
905,1754769,3
906,297731,3
907,1908869,3
908,599606,3
909,1486520,2
910,1495702,3
911,1608826,1
912,780190,4
913,1138323,4
914,556071,1
915,949321,4
916,2088259,10
917,1050809,10
918,1421396,9
919,1671438,7
920,1552355,11
921,1282445,7
922,649981,5
923,1407159,3
924,615289,5
925,1518969,1
926,1633457,4
927,305083,4
928,1321277,2
929,1587254,5
930,1811383,1
931,77892,1
932,972709,1
933,6393,1
934,1183890,1
935,1889529,5
936,916428,3
937,1067453,2
938,2054121,2
939,1349299,1
940,83019,3
941,316746,2
942,1167555,5
943,558950,1
944,1458576,1
945,1643608,2
946,1613678,1
947,2055411,1
948,874447,1
949,1186622,1
950,134515,1
951,69530,1
952,934929,1
953,823565,2
954,71472,1
955,1362332,1
956,1059914,3
957,570744,3
958,1458789,1
959,565653,1
960,1696241,1
961,903769,1
962,369256,4
963,2010501,3
964,1923055,1
965,403725,3
966,408169,5
967,1961065,2
968,1335508,1
969,174727,1
970,139881,1
971,168789,1
972,1523968,1
973,1527338,3
974,340936,4
975,1715563,1
976,1710455,2
977,1473832,3
978,1670498,2
979,904529,4
980,702567,1
981,251134,1
982,43805,3
983,939665,1
984,2042186,1
985,1223248,2
986,1875935,5
987,120607,1
988,134576,1
989,383458,1
990,984014,4
991,145911,3
992,1052882,5
993,1068813,2
994,317835,4
995,1728290,3
996,153860,1
997,286181,1
998,1920223,2
999,2086405,4
1000,85398,1
1001,237750,6
1002,443149,3
1003,1324241,4
1004,1777829,1
1005,1861057,1
1006,1991681,2
1007,1061543,7
1008,1295158,4
1009,1940907,1
1010,655378,1
1011,357306,4
1012,202640,3
1013,1337261,1
1014,662057,3
1015,2011396,1
1016,1054327,2
1017,1557603,4
1018,234929,2
1019,1517572,3
1020,1521668,1
1021,1025406,1
1022,624375,2
1023,1590893,1
1024,625062,5
1025,1618257,1
1026,1615382,5
1027,1927235,1
1028,465739,1
1029,1001533,1
1030,1713869,1
1031,19162,2
1032,1189979,3
1033,1427334,2
1034,1578832,1
1035,101592,1
1036,1332445,3
1037,1776141,1
1038,15712,1
1039,1507734,4
1040,1827233,4
1041,1048966,1
1042,1156938,7
1043,1270542,8
1044,1374645,1
1045,1416805,7
1046,912353,8
1047,1455231,1
1048,1814691,7
1049,429515,1
1050,524698,1
1051,195083,3
1052,523378,1
1053,1007934,2
1054,1675130,2
1055,1987765,3
1056,191178,4
1057,944133,3
1058,1495961,1
1059,1601276,1
1060,571263,3
1061,1180958,1
1062,189505,3
1063,2039166,1
1064,919293,4
1065,1992556,1
1066,1771970,2
1067,1863696,3
1068,1314317,4
1069,1122923,4
1070,1762290,3
1071,204640,1
1072,913511,1
1073,1492555,2
1074,1607917,1
1075,1947176,1
1076,383415,4
1077,879855,4
1078,213448,1
1079,31994,1
1080,618091,4
1081,1309084,2
1082,1762242,1
1083,1885886,1
1084,1247388,4
1085,1098471,4
1086,1261887,3
1087,383251,3
1088,1776983,1
1089,1500010,4
1090,1047279,1
1091,1548473,1
1092,594316,2
1093,1601273,1
1094,1844973,5
1095,1906459,1
1096,1696476,4
1097,1126251,4
1098,127728,5
1099,1401585,2
1100,1538270,4
1101,900405,1
1102,1092913,4
1103,1604129,2
1104,493894,1
1105,1539668,3
1106,1734715,1
1107,522249,2
1108,1256908,4
1109,80314,6
1110,2084809,4
1111,1534817,4
1112,353188,2
1113,176062,3
1114,1230079,1
1115,1157521,4
1116,114521,4
1117,297330,2
1118,1234191,2
1119,85245,4
1120,1109328,2
1121,1420804,1
1122,1449032,2
1123,1631132,1
1124,1287017,3
1125,1833168,4
1126,928842,4
1127,281931,3
1128,1444056,1
1129,13354,1
1130,1469128,1
1131,947796,2
1132,560114,1
1133,850324,1
1134,1138406,1
1135,1065547,1
1136,121980,2
1137,417669,3
1138,485035,3
1139,795931,1
1140,428884,1
1141,943665,1
1142,1346637,4
1143,927280,4
1144,704292,1
1145,1236601,1
1146,1952264,4
1147,2004848,1
1148,2046799,2
1149,1148377,4
1150,1674198,2
1151,1209474,2
1152,255071,4
1153,1194932,5
1154,933342,4
1155,256075,2
1156,1430257,3
1157,1815356,4
1158,1943233,1
1159,1520595,3
1160,245572,4
1161,1822329,2
1162,389456,3
1163,1915282,2
1164,1426264,5
1165,1901789,3
1166,1058571,1
1167,642580,3
1168,1321386,2
1169,1007911,1
1170,430614,1
1171,1182901,1
1172,1286459,1
1173,1761397,1
1174,1867824,1
1175,793595,1
1176,1140789,2
1177,1448306,1
1178,946866,1
1179,40715,2
1180,1915520,1
1181,53898,1
1182,1217,4
1183,1783565,1
1184,818411,1
1185,558196,4
1186,1301962,5
1187,1908621,2
1188,2049819,4
1189,619064,4
1190,1948458,3
1191,458709,3
1192,893229,1
1193,1537168,3
1194,1725378,5
1195,1669204,4
1196,607854,2
1197,1559770,2
1198,661855,1
1199,1037915,3
1200,197798,6
1201,1616612,1
1202,1658667,1
1203,1492802,2
1204,1511380,1
1205,958399,1
1206,1000473,3
1207,620119,4
1208,634474,4
1209,531144,5
1210,669058,1
1211,1203045,4
1212,1358002,2
1213,825652,1
1214,46326,1
1215,595122,5
1216,1352405,1
1217,152460,5
1218,890649,4
1219,2083878,3
1220,184203,2
1221,436990,1
1222,170430,4
1223,1392907,5
1224,361693,1
1225,1013087,1
1226,714587,4
1227,1122643,5
1228,1803907,2
1229,1316277,4
1230,826048,3
1231,592404,1
1232,834854,4
1233,272624,1
1234,795389,3
1235,986349,7
1236,1124046,8
1237,1596719,8
1238,748592,6
1239,462663,7
1240,539865,6
1241,464830,1
1242,889064,1
1243,327763,1
1244,49352,3
1245,1677351,1
1246,1224921,1
1247,812073,3
1248,1070639,2
1249,448928,5
1250,1089305,4
1251,819126,4
1252,1371184,2
1253,928500,4
1254,1717660,2
1255,34004,2
1256,841348,2
1257,1308854,3
1258,1196253,2
1259,94067,4
1260,1908746,1
1261,1349793,2
1262,1699802,1
1263,612934,2
1264,1087254,2
1265,1150840,1
1266,2036360,4
1267,240885,1
1268,1237644,2
1269,120476,5
1270,179386,1
1271,1138286,2
1272,1426952,1
1273,1704146,2
1274,1844105,3
1275,1237157,2
1276,940341,1
1277,1007694,1
1278,127426,3
1279,1870869,3
1280,1577372,2
1281,1808763,2
1282,548110,3
1283,613217,4
1284,1053403,2
1285,1874212,4
1286,1132855,2
1287,1360141,5
1288,2030370,1
1289,326279,1
1290,861939,1
1291,1404251,3
1292,386611,2
1293,2000053,3
1294,642727,3
1295,198118,2
1296,1798740,5
1297,1877305,3
1298,635075,1
1299,407458,3
1300,1643712,3
1301,1948150,1
1302,427670,3
1303,1101277,4
1304,1781561,3
1305,468827,2
1306,408469,2
1307,1753644,4
1308,1967504,2
1309,141943,4
1310,723831,4
1311,504450,1
1312,1760535,5
1313,1230425,2
1314,1059756,4
1315,813863,3
1316,557868,1
1317,1106452,4
1318,748917,3
1319,281970,3
1320,150855,3
1321,1597848,1
1322,1697086,1
1323,548950,1
1324,786425,1
1325,1637430,2
1326,1099687,2
1327,1528847,2
1328,1392457,2
1329,414954,3
1330,285462,1
1331,919861,1
1332,1688339,2
1333,49445,3
1334,215789,1
1335,1089358,3
1336,1584648,4
1337,2081420,1
1338,1403472,3
1339,2049088,2
1340,1926243,1
1341,1525103,1
1342,1714092,2
1343,1529109,4
1344,111758,1
1345,1775395,4
1346,1697365,2
1347,1772990,1
1348,1909761,3
1349,1351556,1
1350,240120,3
1351,41289,1
1352,312794,1
1353,1958194,1
1354,1016590,2
1355,1000279,2
1356,1123214,2
1357,1443177,1
1358,461004,3
1359,1685011,1
1360,311118,3
1361,1798885,1
1362,1448056,1
1363,1470439,1
1364,1257635,4
1365,1413839,2
1366,1566766,1
1367,1820567,3
1368,158340,2
1369,1809653,1
1370,2092093,1
1371,230924,2
1372,439907,1
1373,1632547,3
1374,454462,3
1375,1896771,3
1376,1109173,2
1377,502982,3
1378,800528,3
1379,782351,1
1380,560100,1
1381,318567,3
1382,1984523,1
1383,1737108,3
1384,457826,4
1385,2043905,2
1386,103653,1
1387,769171,1
1388,444736,1
1389,1135908,4
1390,278036,3
1391,130741,3
1392,333252,1
1393,665500,4
1394,1362210,1
1395,1261583,4
1396,385603,4
1397,669587,4
1398,1736353,1
1399,1830372,1
1400,1810537,1
1401,1817165,2
1402,955294,4
1403,1102394,1
1404,1065475,2
1405,1414051,1
1406,1214638,4
1407,1502840,3
1408,1165390,2
1409,1698002,2
1410,1749349,1
1411,403873,3
1412,1603992,1
1413,1287867,4
1414,291979,4
1415,2016975,4
1416,1174929,1
1417,1055602,2
1418,1236516,2
1419,2007538,3
1420,2001786,4
1421,1971069,3
1422,315807,5
1423,1752009,6
1424,885299,1
1425,249151,4
1426,1375098,2
1427,494245,1
1428,680236,1
1429,420195,1
1430,1108226,3
1431,1115160,4
1432,569764,4
1433,2027515,2
1434,2087596,2
1435,1555697,4
1436,1518130,2
1437,1690441,1
1438,2023353,1
1439,255331,3
1440,494878,3
1441,591107,4
1442,1725488,3
1443,650064,1
1444,1584033,2
1445,1127979,2
1446,683323,3
1447,1959166,2
1448,205691,1
1449,2036628,1
1450,315369,1
1451,1233488,3
1452,1862929,2
1453,1302999,2
1454,1479633,1
1455,1969647,4
1456,1412866,5
1457,1947812,1
1458,1400639,4
1459,700571,3
1460,582660,4
1461,388355,5
1462,1431963,1
1463,1475791,1
1464,1118800,2
1465,403474,3
1466,500084,1
1467,1849728,2
1468,984542,1
1469,1080514,2
1470,1725352,2
1471,1222505,3
1472,1932228,4
1473,584930,3
1474,1924195,5
1475,1421988,3
1476,392180,1
1477,683399,3
1478,57581,1
1479,130342,2
1480,1245603,3
1481,801612,3
1482,1823484,5
1483,246199,1
1484,1140349,1
1485,171900,2
1486,1389886,5
1487,942816,1
1488,1771245,3
1489,522711,4
1490,17914,1
1491,710529,5
1492,757027,1
1493,1364161,2
1494,872825,5
1495,800878,4
1496,274045,1
1497,1283037,5
1498,956415,4
1499,588743,4
1500,1923108,1
1501,573959,1
1502,1461877,5
1503,906235,1
1504,515472,3
1505,1589559,1
1506,1651203,2
1507,827251,3
1508,1217774,2
1509,855712,1
1510,1696282,4
1511,375148,4
1512,492127,2
1513,1713332,3
1514,601942,4
1515,1015718,2
1516,323527,4
1517,562794,1
1518,1546447,2
1519,1873443,1
1520,1916075,2
1521,56611,1
1522,1648751,3
1523,1485875,1
1524,1770482,2
1525,1118416,4
1526,1474864,1
1527,808533,5
1528,526691,1
1529,1075377,4
1530,1666471,3
1531,771525,3
1532,1786268,4
1533,1190244,2
1534,1547652,1
1535,1106999,1
1536,366807,3
1537,205290,3
1538,42014,2
1539,775927,2
1540,551078,1
1541,1144742,4
1542,1647281,1
1543,894840,3
1544,872585,1
1545,204160,3
1546,1013169,4
1547,1029542,1
1548,644244,1
1549,961328,1
1550,223428,4
1551,193473,1
1552,184252,3
1553,1759789,3
1554,1906065,1
1555,1769465,2
1556,454814,2
1557,340489,2
1558,1196473,1
1559,273602,1
1560,785841,5
1561,105331,2
1562,1397469,1
1563,1897980,1
1564,328274,1
1565,40235,3
1566,1433906,1
1567,599804,1
1568,1536364,2
1569,1322210,2
1570,128920,3
1571,1367258,1
1572,1821378,1
1573,1967283,1
1574,159893,1
1575,431836,8
1576,2006561,6
1577,620186,8
1578,1349992,1
1579,1537249,1
1580,173339,1
1581,398292,1
1582,511389,1
1583,731574,4
1584,1963731,2
1585,1248261,7
1586,1116329,1
1587,1223310,6
1588,74613,6
1589,128533,6
1590,805298,8
1591,1353005,1
1592,302897,1
1593,49375,1
1594,733475,1
1595,1885481,1
1596,1192765,3
1597,108423,5
1598,1310438,1
1599,1248157,4
1600,331284,3
1601,1901189,2
1602,1877708,1
1603,1594937,2
1604,875548,1
1605,1187185,3
1606,846631,1
1607,1505036,3
1608,1349279,2
1609,647574,1
1610,115961,3
1611,457620,3
1612,1594971,1
1613,1656601,1
1614,928330,1
1615,726657,1
1616,192478,1
1617,1600678,3
1618,1925213,2
1619,242353,1
1620,2073230,4
1621,270463,4
1622,1336465,2
1623,1234723,3
1624,1644955,4
1625,631146,1
1626,676667,1
1627,221277,2
1628,984103,3
1629,1996676,1
1630,1023869,1
1631,69337,4
1632,1599761,3
1633,1415711,1
1634,1063750,1
1635,381150,1
1636,1544747,5
1637,1981848,3
1638,612370,2
1639,1135093,3
1640,1999943,3
1641,1922244,1
1642,365667,3
1643,254038,1
1644,688018,5
1645,972476,4
1646,182436,1
1647,1865610,1
1648,1439905,1
1649,959272,4
1650,1515950,3
1651,182931,4
1652,592271,5
1653,1452686,1
1654,297403,4
1655,1594506,1
1656,1190250,2
1657,1615490,3
1658,2054738,4
1659,1039004,1
1660,56638,1
1661,1196769,3
1662,1302430,5
1663,1366526,1
1664,319620,3
1665,640448,9
1666,7509,10
1667,1969042,10
1668,1520290,3
1669,559418,10
1670,676142,11
1671,808354,8
1672,1634397,7
1673,958963,1
1674,1765460,2
1675,1695497,1
1676,1849226,3
1677,518180,3
1678,1618488,3
1679,767004,3
1680,79806,5
1681,549257,3
1682,731443,8
1683,821721,7
1684,1250941,1
1685,992045,7
1686,1381640,8
1687,1432187,7
1688,1623035,1
1689,174974,1
1690,1970360,1
1691,2003921,1
1692,2037221,1
1693,220592,1
1694,1291862,5
1695,1285384,4
1696,1796810,1
1697,2022204,2
1698,1017662,1
1699,1464622,6
1700,1092832,7
1701,1102616,1
1702,1339641,7
1703,1351786,7
1704,1958633,7
1705,455359,7
1706,1843430,1
1707,841206,1
1708,752256,1
1709,161781,1
1710,1764153,3
1711,1727869,1
1712,236573,1
1713,1346524,2
1714,139130,2
1715,1082610,4
1716,520392,5
1717,1432491,4
1718,553559,5
1719,1486793,3
1720,1827088,2
1721,1028085,4
1722,973383,1
1723,879534,1
1724,183920,1
1725,1147405,3
1726,384823,1
1727,398386,3
1728,2065881,1
1729,838026,1
1730,1103965,1
1731,332566,3
1732,1598265,1
1733,878,8
1734,827522,8
1735,1964725,6
1736,1267456,1
1737,131179,3
1738,2096426,7
1739,966340,8
1740,1920820,1
1741,446890,3
1742,1440295,2
1743,1996760,3
1744,2010738,1
1745,224471,4
1746,1355372,4
1747,1311459,2
