station,ip,count
405034088,140.205.176.96,4
405034088,140.206.160.84,1
405034088,140.206.160.85,1
405034088,140.206.161.235,3
405034088,140.206.164.166,1
405034088,140.207.123.34,1
405034088,140.207.185.229,3
405034088,182.254.114.236,11
405034088,182.254.114.238,12
405034088,182.254.232.85,3
405034088,183.192.192.26,7
405034088,183.232.103.23,2
405034088,183.232.121.13,10
405034088,183.232.27.86,5
405034088,183.232.90.210,2
405034088,183.232.90.211,6
405034088,183.232.90.215,3
405034088,183.232.90.218,2
405034088,183.232.90.221,5
405034088,183.61.47.164,1
405034088,183.61.49.71,6
405034088,203.195.148.208,2
405034088,203.195.157.68,4
405034088,203.195.158.251,3
405034088,203.195.159.212,4
405034088,203.195.160.163,3
405034088,203.195.160.35,2
405034088,203.195.161.169,4
405034088,203.195.161.36,6
405034088,203.195.162.47,9
405034088,211.151.0.94,4
405034088,218.203.12.20,2
405034088,218.203.12.22,31
405034088,218.203.12.23,8
405034088,218.203.61.244,32
405034088,218.203.61.88,309
405034088,223.202.68.175,3
405034088,223.85.133.23,11
405034088,223.95.79.232,40
405034088,234.123.12.129,105
405034088,36.49.31.144,2
405034088,42.156.140.212,3
405034088,42.62.48.54,2
405034088,42.62.94.1,4
405034088,42.62.94.125,2
405034088,42.62.94.131,1
405034088,42.62.94.195,1
405034088,61.151.186.251,2
405034088,61.151.186.253,2
405151825,222.92.97.5,4
405890714,58.218.196.79,1
406477900,104.197.59.136,6
406477900,104.24.19.181,4
406477900,111.30.128.181,1
406477900,111.30.131.156,1
406477900,111.30.135.23,1
406477900,117.144.244.253,1
406477900,120.204.200.36,1
406477900,125.39.240.164,1
406477900,183.232.103.29,1
406477900,183.232.103.52,1
406477900,192.168.1.129,1
406477900,218.203.61.244,7
410065548,123.56.110.117,6
410065548,14.17.97.117,7
410107658,14.17.103.156,3
410109074,14.17.103.156,3
410109074,14.17.97.117,1
410109074,17.172.239.29,1
410109074,218.203.61.88,10
410245744,120.24.239.174,13
410245922,120.24.239.174,22
410872125,14.17.96.165,3
410934267,60.31.254.135,77
410964324,14.17.103.156,2
411399995,218.203.61.244,22
411399995,218.203.61.88,16
412240223,119.29.80.193,8
412444259,220.231.194.77,13
412528371,115.29.240.103,34
414425458,120.24.80.103,9
416168850,113.106.93.178,1
416196660,115.28.179.54,1
416902804,120.196.165.135,16
416902804,120.24.59.97,2
416902804,218.104.128.234,2
417551071,111.206.79.36,1
417551071,111.40.194.29,1
417551071,112.90.74.21,2
417551071,115.29.232.97,4
417551071,120.198.202.228,2
417551071,183.232.103.54,2
417551071,183.232.125.44,1
417551071,183.232.93.80,2
417551071,54.255.252.247,1
417551071,58.68.235.104,1
417551071,61.135.185.146,1
417563777,218.203.61.88,6
417801034,119.145.9.132,4
417850381,120.24.239.174,12
418232963,123.57.33.27,3
418232963,203.86.9.134,2
418232963,218.203.61.244,2
420462516,10.0.0.44,128
420462516,110.75.244.218,2
420462516,111.30.130.164,2
420462516,111.40.195.41,5
420462516,140.205.203.210,2
420462516,183.232.103.52,1
420462516,183.232.121.31,1
420462516,218.203.61.244,1
421332806,111.13.142.143,1
421336148,14.17.103.156,2
421347875,108.186.77.23,1
421347875,117.144.242.151,1
421347875,14.17.97.117,5
421350354,14.17.97.117,1
421350396,14.17.103.156,4
421361537,111.30.138.24,1
421361537,111.40.234.138,1
421361537,112.90.74.21,5
421361537,120.198.201.57,1
421361537,14.17.52.9,6
421361537,183.232.103.54,5
421361537,183.232.125.42,10
421361537,183.232.125.44,2
421361537,183.232.93.48,2
421361537,183.232.93.80,4
421361537,183.232.95.189,2
421361537,183.232.98.31,2
421361537,218.203.61.88,2
421361537,27.106.206.139,2
423141306,115.29.240.103,28
423162658,218.244.141.26,3
423165063,1.2.4.136,1
423165063,10.0.0.44,46
423165063,111.1.53.27,2
423165063,111.13.100.214,1
423165063,111.13.12.238,1
423165063,111.40.194.149,1
423165063,111.40.194.150,1
423165063,113.105.151.167,1
423165063,114.114.114.242,1
423165063,114.114.115.243,1
423165063,115.29.240.103,20
423165063,117.185.119.15,1
423165063,120.192.88.210,3
423165063,218.203.61.244,5
423165063,218.205.76.195,2
423165063,220.167.100.43,1
423165063,223.5.5.133,1
423165063,223.6.6.134,1
423165063,223.99.245.27,2
424260201,103.7.31.29,1
424260201,111.13.34.229,1
424260201,111.30.135.23,2
424260201,111.30.135.27,3
424260201,111.40.194.15,1
424260201,111.40.194.22,1
424260201,111.40.194.23,1
424260201,111.40.194.24,2
424260201,111.40.194.29,2
424260201,111.40.194.57,2
424260201,111.40.194.58,1
424260201,111.40.194.66,5
424260201,111.40.194.7,1
424260201,111.40.194.79,7
424260201,111.40.194.8,6
424260201,111.40.234.224,4
424260201,117.135.169.219,2
424260201,117.135.171.99,1
424260201,117.144.242.154,28
424260201,117.185.117.15,5
424260201,117.185.119.15,4
424260201,117.185.24.147,3
424260201,117.185.24.156,2
424260201,117.185.24.251,5
424260201,120.198.189.228,1
424260201,120.198.203.24,4
424260201,140.206.160.85,6
424260201,163.177.90.152,1
424260201,17.110.229.213,3
424260201,17.143.162.88,1
424260201,17.143.163.153,1
424260201,17.143.163.91,1
424260201,17.143.164.225,1
424260201,17.172.232.69,1
424260201,17.248.153.42,1
424260201,182.254.114.236,9
424260201,182.254.114.238,4
424260201,183.232.93.72,1
424260201,218.203.61.244,25
424260201,218.203.61.88,7
424260201,223.85.133.23,3
424260201,223.99.231.16,1
424260201,223.99.231.17,1
424260201,223.99.231.30,1
424260201,59.37.96.54,5
424260201,59.37.96.55,1
424260201,61.151.186.251,5
424291222,101.227.169.33,1
424291222,103.7.31.29,3
424291222,110.75.98.199,1
424291222,111.13.100.214,5
424291222,111.13.12.189,16
424291222,111.13.12.238,4
424291222,111.13.12.247,2
424291222,111.13.34.230,9
424291222,111.13.34.241,5
424291222,111.13.87.161,4
424291222,111.161.52.165,1
424291222,111.161.52.167,4
424291222,111.30.130.164,1
424291222,111.30.131.250,10
424291222,111.30.131.34,1
424291222,111.30.132.169,10
424291222,111.30.135.23,5
424291222,111.30.138.23,4
424291222,111.30.138.24,1
424291222,111.30.138.25,2
424291222,111.40.194.57,4
424291222,111.40.194.58,2
424291222,111.40.194.66,9
424291222,111.40.194.67,4
424291222,112.90.85.63,1
424291222,112.90.85.65,1
424291222,113.108.11.29,1
424291222,113.108.11.31,1
424291222,115.28.115.235,14
424291222,117.135.169.143,6
424291222,117.135.169.219,5
424291222,117.135.175.29,2
424291222,117.135.175.66,1
424291222,117.135.175.68,2
424291222,117.144.242.151,10
424291222,117.144.242.154,21
424291222,117.144.242.230,5
424291222,117.144.246.11,2
424291222,117.185.117.15,6
424291222,117.185.119.15,3
424291222,117.185.27.237,1
424291222,117.34.26.238,1
424291222,120.198.189.228,1
424291222,120.198.201.42,2
424291222,120.198.202.228,1
424291222,120.198.203.24,5
424291222,120.198.203.40,3
424291222,120.204.200.36,5
424291222,120.204.201.71,2
424291222,120.33.50.18,2
424291222,123.151.148.194,2
424291222,123.151.148.88,3
424291222,140.206.160.85,25
424291222,140.206.161.239,1
424291222,140.207.123.34,1
424291222,140.207.62.244,1
424291222,182.254.114.236,12
424291222,182.254.114.238,4
424291222,183.232.121.13,2
424291222,183.232.121.74,2
424291222,183.232.126.141,1
424291222,183.232.94.172,4
424291222,183.232.94.230,2
424291222,204.79.197.72,1
424291222,218.203.12.23,2
424291222,218.203.61.244,106
424291222,218.203.61.88,72
424291222,223.85.133.23,4
424291222,52.10.233.162,3
424291222,52.24.125.146,2
424291222,52.26.173.221,2
424291222,52.26.174.35,2
424291222,54.255.252.187,2
424291222,61.151.186.249,4
424291222,61.151.186.251,19
424815378,119.29.17.167,8
426054144,116.204.15.181,12
426259169,14.17.103.156,9
426392761,111.40.194.15,5
426392761,111.40.194.22,5
426392761,111.40.194.23,7
426392761,111.40.194.24,5
426392761,111.40.194.28,7
426392761,111.40.194.29,9
426392761,111.40.194.57,7
426392761,111.40.194.58,9
426392761,111.40.194.7,8
426392761,111.40.194.8,6
426392761,124.251.29.197,218
426392761,218.203.61.244,3
426392761,218.203.61.88,69
426392761,42.120.22.152,1
427706900,113.142.33.178,7
427706900,14.29.111.161,2
427706900,218.203.61.88,3
427706900,58.83.155.211,6
427706900,58.83.210.17,1
427913447,120.55.196.200,15
427913447,14.29.111.161,25
427913447,58.83.155.211,2
427919407,60.31.254.135,282
428620005,211.151.55.220,623
428945929,111.13.52.105,1
428945929,123.59.62.237,1
428945929,218.203.61.244,3
428945929,218.203.61.88,3
428945929,218.245.5.103,26
429914092,111.13.12.11,1
429914092,111.13.34.229,20
429914092,111.13.94.168,1
429914092,111.30.131.228,6
429914092,111.40.194.22,2
429914092,111.40.201.107,1
429914092,120.198.203.24,1
429914092,140.206.160.85,1
429914092,140.207.54.244,1
429914092,182.254.114.236,7
429914092,182.254.114.238,2
429914092,218.203.12.23,1
429914092,218.203.61.88,8
429914092,221.181.200.110,6
429914092,42.236.74.80,1
429914092,54.255.252.179,1
430220573,113.142.33.178,5
430220573,114.114.114.242,2
430220573,140.207.212.204,4
430220573,218.203.61.244,4
430220573,219.153.12.195,2
430220573,58.83.155.211,2
430230918,140.207.212.204,4
430230918,61.130.109.106,3
430472959,183.232.93.80,1
430863974,60.31.254.135,18
430996855,120.197.97.190,2
431134861,111.40.194.23,2
431134861,117.185.16.175,2
431134861,117.185.16.44,1
431134861,119.29.80.193,15
431134861,183.232.121.96,8
431134861,195.34.89.16,1
431134861,218.203.61.244,7
431134861,223.85.133.23,1
431134861,42.62.68.131,1
431148902,211.151.55.212,2612
431165703,211.151.55.220,610
431168467,211.151.55.220,323
431275638,183.251.83.153,14
431544006,115.29.240.103,11
432009014,101.199.97.101,3
432009014,101.199.97.103,2
432009014,101.199.97.99,7
432009014,101.199.98.182,7
432009014,101.227.131.177,2
432009014,103.28.9.156,2
432009014,103.28.9.157,2
432009014,106.120.151.97,12
432009014,106.38.193.151,6
432009014,106.39.201.154,2
432009014,106.39.201.156,1
432009014,106.39.201.172,1
432009014,106.39.201.184,2
432009014,106.39.205.180,4
432009014,111.1.53.15,5
432009014,111.1.53.27,1
432009014,111.13.100.213,6
432009014,111.13.100.214,9
432009014,111.13.12.238,6
432009014,111.13.34.240,18
432009014,111.13.65.113,16
432009014,111.13.65.116,28
432009014,111.13.65.18,4
432009014,111.13.65.200,9
432009014,111.13.65.209,6
432009014,111.13.65.72,2
432009014,111.13.65.81,2
432009014,111.13.87.161,2
432009014,111.13.87.57,4
432009014,111.13.88.111,2
432009014,111.13.88.120,3
432009014,111.13.88.91,12
432009014,111.13.89.234,2
432009014,111.13.89.236,7
432009014,111.13.89.237,2
432009014,111.13.89.238,5
432009014,111.13.89.239,1
432009014,111.30.130.164,4
432009014,111.30.131.151,6
432009014,111.30.131.18,2
432009014,111.30.131.250,2
432009014,111.30.132.169,8
432009014,111.30.135.23,1
432009014,111.30.138.26,4
432009014,111.30.138.54,2
432009014,111.40.194.24,4
432009014,111.40.194.28,6
432009014,111.40.194.29,2
432009014,111.40.194.8,3
432009014,111.40.196.226,4
432009014,111.40.234.198,2
432009014,117.135.129.219,8
432009014,117.135.171.42,44
432009014,117.135.172.68,2
432009014,117.135.175.68,2
432009014,117.144.241.229,98
432009014,117.185.117.42,16
432009014,117.185.16.244,2
432009014,120.132.51.132,2
432009014,120.198.199.59,14
432009014,120.198.203.24,2
432009014,120.204.200.33,4
432009014,120.204.200.36,6
432009014,120.204.200.46,2
432009014,120.204.201.71,2
432009014,123.151.40.215,2
432009014,125.88.193.106,7
432009014,14.17.18.161,2
432009014,14.17.42.177,1
432009014,140.205.142.88,24
432009014,140.205.176.50,14
432009014,140.205.180.168,10
432009014,140.206.161.235,8
432009014,140.206.161.237,2
432009014,140.206.161.238,4
432009014,140.206.176.159,30
432009014,140.207.185.231,4
432009014,183.131.1.202,10
432009014,183.131.1.228,36
432009014,183.203.21.233,2
432009014,183.232.103.23,4
432009014,183.232.103.29,2
432009014,183.232.103.52,9
432009014,183.232.103.54,26
432009014,183.232.121.96,2
432009014,183.232.88.25,10
432009014,183.232.93.48,4
432009014,183.232.94.249,10
432009014,183.232.95.189,4
432009014,183.232.95.23,4
432009014,183.232.98.50,10
432009014,183.57.48.156,11
432009014,192.168.0.129,4
432009014,218.203.12.23,4
432009014,218.203.61.244,199
432009014,218.203.61.88,24
432009014,218.205.76.202,8
432009014,218.30.116.153,1
432009014,218.30.117.155,1
432009014,218.30.117.156,8
432009014,218.30.118.193,2
432009014,220.181.132.219,1
432009014,220.181.132.220,2
432009014,220.181.150.160,4
432009014,221.130.199.216,4
432009014,221.179.190.80,1
432009014,223.99.231.23,1
432009014,223.99.231.28,1
432009014,27.115.67.38,7
432009014,54.255.252.60,5
432009014,54.255.253.117,5
432009014,59.37.96.42,2
433467665,218.203.61.88,12
434532256,211.151.55.220,336
436441988,120.204.199.198,5
438556452,10.0.0.44,204
438556452,110.75.143.49,3
438556452,110.75.231.216,49
438556452,110.75.236.216,32
438556452,110.75.244.216,9
438556452,110.76.18.216,17
438556452,110.76.18.218,1
438556452,110.76.18.23,1
438556452,111.1.53.27,2
438556452,111.13.100.213,3
438556452,111.13.113.167,3
438556452,111.13.12.238,5
438556452,111.13.12.34,9
438556452,111.30.131.155,1
438556452,113.31.65.199,1
438556452,119.37.197.221,6
438556452,120.24.172.94,1
438556452,140.205.202.219,24
438556452,140.205.35.227,3
438556452,183.131.1.204,4
438556452,183.131.1.223,1
438556452,202.108.23.233,4
438556452,210.83.84.218,3
438556452,218.203.61.244,41
438556452,218.203.61.88,17
438556452,218.205.76.195,6
438556452,218.205.76.198,12
438556452,218.205.76.223,9
438556452,54.223.232.42,1
438556452,8.8.8.136,8
439118574,120.132.39.163,2
439330870,14.17.103.156,1
439405333,111.13.65.113,1
439405333,111.13.65.201,1
439405333,111.13.65.21,2
439405333,111.206.79.34,2
439405333,111.30.131.151,1
439405333,113.142.37.5,2
439405333,113.142.47.147,4
439405333,113.31.80.24,1
439405333,117.144.242.151,1
439405333,117.144.242.154,2
439405333,117.185.119.15,3
439405333,140.205.174.214,2
439405333,182.254.114.236,3
439405333,218.203.61.244,14
439405333,218.203.61.88,8
439405333,36.250.90.133,1
439405333,61.151.186.249,1
439405333,61.240.138.118,1
439405333,8.8.8.136,6
439554958,14.17.97.117,2
439739904,103.28.9.140,2
439739904,103.28.9.141,1
439739904,110.76.3.223,34
439739904,110.76.3.226,3
439739904,111.13.94.168,1
439739904,111.30.135.22,10
439739904,111.30.135.23,2
439739904,112.17.250.115,11
439739904,117.135.128.212,1
439739904,117.135.128.217,1
439739904,117.135.169.219,2
439739904,117.144.242.151,4
439739904,117.185.117.15,1
439739904,120.197.233.249,1
439739904,120.204.200.214,1
439739904,140.205.140.204,2
439739904,140.205.159.184,1
439739904,140.205.195.163,25
439739904,140.205.252.227,3
439739904,182.254.114.238,5
439739904,211.136.10.3,1
439739904,218.203.61.244,12
439739904,218.203.61.88,2
439739904,220.181.132.220,13
439739904,221.176.31.12,1
439739904,221.176.31.78,1
439739904,42.120.142.173,7
439785444,10.0.0.44,158
439785444,111.13.100.213,6
439785444,111.30.131.163,1
439785444,111.30.135.34,1
439785444,111.40.194.24,1
439785444,111.40.236.152,1
439785444,113.31.17.250,2
439785444,113.31.80.8,1
439785444,117.135.169.219,5
439785444,117.144.242.151,2
439785444,117.144.242.154,8
439785444,117.185.117.15,9
439785444,118.144.67.254,3
439785444,120.196.210.160,2
439785444,120.198.203.24,1
439785444,120.198.203.28,2
439785444,120.33.50.18,1
439785444,182.254.114.236,74
439785444,218.203.61.244,11
439785444,223.99.231.30,6
439785444,223.99.231.32,2
439785978,121.201.20.196,1
439785978,218.203.61.244,1
439785978,218.60.25.215,1
439801855,110.75.236.218,3
439801855,218.203.14.253,1
454421110,103.28.9.169,7
454421110,103.28.9.175,3
454421110,103.28.9.176,6
454421110,103.28.9.177,7
454421110,103.7.31.29,2
454421110,111.13.100.214,27
454421110,111.13.12.238,5
454421110,111.13.53.175,26
454421110,111.13.53.176,14
454421110,111.13.53.177,25
454421110,111.13.66.193,4
454421110,111.13.88.111,9
454421110,111.13.88.120,11
454421110,111.13.88.93,70
454421110,111.26.136.116,1
454421110,111.26.224.143,1
454421110,111.30.135.23,4
454421110,111.40.194.24,1
454421110,111.40.194.29,1
454421110,111.40.194.57,1
454421110,111.40.194.7,1
454421110,111.40.194.8,3
454421110,111.40.225.62,3
454421110,112.90.74.21,4
454421110,115.29.240.228,8
454421110,117.135.172.87,18
454421110,117.144.244.253,68
454421110,117.185.16.218,1
454421110,120.198.189.228,1
454421110,120.198.203.24,3
454421110,121.40.112.14,3
454421110,14.17.52.8,2
454421110,14.17.52.9,3
454421110,180.149.134.95,1
454421110,182.254.116.244,2
454421110,182.254.116.245,2
454421110,183.232.103.52,9
454421110,183.232.121.13,8
454421110,183.232.125.42,3
454421110,183.232.125.44,8
454421110,183.232.231.172,4
454421110,183.232.93.48,2
454421110,183.232.95.189,1
454421110,183.61.49.50,1
454421110,218.203.61.244,164
454421110,218.203.61.88,203
454421110,221.179.190.80,12
454421110,223.6.251.85,45
454421110,223.6.254.222,9
454421110,223.85.133.23,6
454421110,42.121.17.53,10
454421110,42.121.17.54,11
454421110,58.251.61.46,3
455248598,219.147.23.100,9
456902345,123.151.148.194,1
456902345,17.143.162.27,2
456902345,17.155.127.94,6
456902345,17.155.127.95,3
456902345,17.173.254.153,1
456902345,218.203.61.244,3
456902345,218.203.61.88,5
456902345,218.203.63.176,2
456902345,218.203.63.60,1
456902345,23.32.241.154,1
456902345,23.32.241.155,2
458484281,211.95.60.164,1128
458484281,58.83.155.211,1164
458484281,61.135.199.73,1183
462736810,120.24.83.221,28
464702456,183.232.95.23,1
464702456,218.104.200.116,1
464715337,17.167.192.0,1
464715337,17.167.194.21,1
464715337,218.203.61.88,1
464715337,23.10.18.97,1
465444072,111.30.131.155,1
465444072,117.144.242.151,1
465446098,111.40.196.226,1
465446098,111.40.225.62,1
465446098,120.197.87.166,1
465446098,123.126.50.66,1
465446098,183.232.103.52,1
465446098,202.108.23.233,1
465446098,218.203.61.244,3
466375778,222.33.42.181,1
466535919,119.254.86.253,6
468084447,111.161.111.183,1
468084447,111.30.131.154,5
468084447,111.30.135.23,2
468084447,111.30.138.54,2
468084447,111.40.194.15,1
468084447,111.40.194.22,2
468084447,111.40.194.8,1
468084447,112.90.74.21,1
468084447,117.135.128.210,4
468084447,117.135.128.212,2
468084447,117.135.171.200,5
468084447,120.198.201.57,3
468084447,120.198.202.229,4
468084447,120.204.200.33,2
468084447,120.204.200.36,2
468084447,183.232.103.52,2
468084447,183.232.103.54,3
468084447,183.232.121.13,2
468084447,183.232.125.42,2
468084447,183.232.125.44,5
468084447,183.232.90.213,2
468084447,183.232.90.221,2
468084447,183.232.93.80,5
468084447,218.203.61.244,1
468084447,218.203.61.88,23
470143752,111.30.138.24,1
470143752,218.203.61.88,1
470164820,111.30.135.23,1
470164820,111.40.194.24,3
470164820,111.40.195.38,6
470164820,111.40.195.41,1
470164820,117.135.172.24,1
470164820,183.232.103.54,4
470164820,183.232.93.48,1
470164820,203.130.41.112,1
470164820,203.130.41.22,1
470164820,203.130.41.27,1
470164820,218.203.61.244,1
470164820,218.203.61.88,6
470164820,223.85.133.23,1
470164820,59.151.100.226,1
470164820,8.8.8.136,1
471349110,111.13.12.34,1
471349110,111.13.142.130,1
471349110,117.185.117.42,2
471349110,140.205.195.197,1
471349110,182.254.114.238,1
471349110,183.232.125.34,1
471349110,218.203.61.88,1
471349110,218.205.76.220,2
471349110,218.205.81.13,2
471349110,42.62.94.106,2
471349110,61.135.186.210,1
472357903,111.30.135.39,1
472357903,121.37.62.16,27
472469407,220.178.0.184,18
472566983,10.0.0.44,1
472566983,111.13.142.130,1
472999610,117.144.242.230,1
472999610,120.204.200.230,1
472999610,218.203.61.88,1
475855575,219.147.23.105,81
475962835,220.181.105.213,509
476608293,10.0.0.44,3
476608293,111.30.130.164,2
476608293,111.30.138.26,1
476608293,117.144.242.151,1
476608293,117.185.119.15,1
476608293,140.205.203.217,3
476608293,182.254.114.238,5
478802297,10.0.0.44,9
478802297,111.13.65.202,2
478802297,111.40.194.22,1
478802297,111.40.194.28,2
478802297,116.213.69.73,4
478802297,218.203.61.244,2
478846183,117.144.242.188,2
478846183,183.192.192.21,9
478846183,183.232.103.52,4
478846183,183.232.93.48,6
478846183,183.232.93.80,11
478846183,218.203.61.244,3
478846183,223.85.133.23,2
478879102,111.13.100.131,2
478879102,111.13.101.201,10
478879102,111.13.101.63,2
478879102,111.13.113.160,28
478879102,111.13.113.161,2
478879102,111.13.113.166,1
478879102,111.13.113.177,3
478879102,111.13.12.11,3
478879102,111.13.12.183,4
478879102,111.13.12.231,2
478879102,111.13.12.247,11
478879102,111.13.12.34,1
478879102,111.13.142.152,2
478879102,111.40.194.15,2
478879102,111.40.194.236,1
478879102,111.40.201.107,2
478879102,120.198.201.52,1
478879102,123.126.50.68,1
478879102,183.232.125.44,1
478879102,218.203.61.244,27
479979999,111.40.195.41,1
480253491,58.63.245.17,1
480914222,111.30.135.23,2
480914222,111.40.194.67,2
480914222,111.40.234.224,4
480914222,117.135.169.219,1
480914222,117.144.242.151,2
480914222,117.144.242.154,3
480914222,117.185.119.15,3
480914222,120.198.203.24,2
480914222,17.110.228.217,3
480914222,17.110.229.141,4
480914222,17.110.230.150,1
480914222,17.143.160.20,4
480914222,17.172.232.40,2
480914222,17.172.232.48,4
480914222,17.172.238.154,3
480914222,17.172.239.0,2
480914222,17.172.239.152,4
480914222,17.172.239.164,1
480914222,17.172.239.170,3
480914222,17.172.239.22,1
480914222,17.172.239.6,2
480914222,182.254.114.238,1
480914222,195.34.89.16,1
480914222,218.203.61.244,85
480914222,218.203.61.88,24
480914222,223.85.133.23,1
480914222,23.201.102.145,2
481567444,111.13.100.213,1
481567444,111.13.12.238,11
481567444,111.13.123.23,1
481567444,111.13.123.24,3
481567444,111.13.133.203,2
481567444,111.13.133.205,2
481567444,111.13.133.208,2
481567444,111.13.133.209,1
481567444,111.13.133.238,1
481567444,111.13.133.240,2
481567444,111.30.131.151,1
481567444,111.40.194.29,1
481567444,111.40.236.213,3
481567444,115.29.240.228,3
481567444,117.135.169.177,2
481567444,117.135.172.26,2
481567444,117.144.241.229,2
481567444,117.144.242.151,6
481567444,117.144.242.154,2
481567444,117.144.244.181,4
481567444,117.185.119.15,1
481567444,117.185.24.148,3
481567444,119.188.143.45,4
481567444,119.188.143.50,1
481567444,119.188.143.7,9
481567444,119.188.143.8,2
481567444,119.188.147.83,2
481567444,120.198.203.26,5
481567444,123.126.104.176,9
481567444,182.254.114.238,1
481567444,183.232.93.22,1
481567444,203.195.159.65,2
481567444,203.195.161.169,1
481567444,218.203.61.244,13
481567444,218.203.61.88,85
481567444,220.181.2.95,7
481567444,220.181.61.20,9
481567444,220.181.69.55,2
481567444,220.181.90.222,2
481567444,221.179.178.131,2
481567444,223.6.252.69,16
481567444,223.85.133.23,2
481567444,223.99.245.1,2
481567444,223.99.245.114,1
481567444,223.99.245.2,6
481567444,223.99.251.81,3
481567444,239.255.255.122,1
481567444,42.121.17.53,1
481567444,8.8.8.136,11
482457900,107.155.52.117,1
482457900,111.30.138.24,1
482457900,139.219.11.84,1
482457900,183.232.125.44,1
482457900,183.61.49.50,1
482457900,218.203.61.88,1
482661758,218.203.61.244,50
482661758,218.203.61.88,41
482661758,223.95.79.78,60
482847529,120.197.97.190,2
483192314,218.207.67.68,1
483485511,10.0.0.44,2
483485511,110.76.18.218,2
483485511,110.76.3.223,1
484539878,120.197.97.190,2
485160931,111.30.130.164,2
485160931,111.30.135.23,2
485160931,111.30.135.39,4
485160931,111.30.138.26,2
485160931,117.185.16.218,1
485160931,120.204.200.231,1
485160931,183.232.125.42,2
485160931,183.232.93.80,2
485160931,218.203.61.88,1
486997190,101.227.169.33,1
486997190,111.13.51.169,40
486997190,117.144.242.151,1
486997190,118.126.5.26,3
486997190,218.203.61.88,1
488879496,115.159.15.121,1
489045551,120.197.97.190,1
489658944,111.13.51.169,40
489658944,120.197.97.190,49
489658944,120.204.199.198,43
489658944,218.203.61.244,59
489658944,218.203.61.88,4
500601818,103.7.31.29,2
500601818,111.13.100.19,3
500601818,111.13.100.27,29
500601818,111.13.113.176,4
500601818,111.13.12.97,10
500601818,111.13.34.228,14
500601818,111.13.34.229,2
500601818,111.13.34.230,13
500601818,111.13.34.240,21
500601818,111.13.34.241,14
500601818,111.30.135.23,2
500601818,111.30.135.27,10
500601818,111.40.194.15,2
500601818,111.40.194.22,2
500601818,111.40.194.23,2
500601818,111.40.194.28,2
